attendance_id,dli_number,parade_date,attendance_status,late_status,excused_leave
ATT04803,DLI23SDA000061,2025-10-05,P,No,no
ATT00756,DLI22SDA000028,2025-05-10,Present,no,no
ATT05195,DLI23SDA000069,2026-02-08,Present,NO,No
ATT06917,DLI24SDA000033,2025-11-15,Absent,no,no
ATT04488,DLI23SDA000055,2024-09-08,PRESENT,No,N
ATT00799,DLI22SDA000030,2024-11-30,Present,Yes,No
ATT05819,DLI24SDA000012,2024-09-22,Present,NO,no
ATT03351,DLI23SDA000031,2025-02-01,Present,No,No
ATT03252,DLI23SDA000029,2024-12-15,Absent,No,Y
ATT01867,DLI22SDA000070,2024-08-24,Absent,no,no
ATT09769,DLI25SDA000040,2026-01-31,Absent,no,N
ATT10594,DLI26SDA000024,2026-07-11,Present,No,N
ATT07508,DLI24SDA000045,2024-11-10,Present,No,N
ATT04594,DLI23SDA000057,2024-11-30,PRESENT,NO,no
ATT00795,DLI22SDA000030,2024-10-26,Absent,N,yes
ATT03511,DLI23SDA000034,2026-01-03,Present,no,NO
ATT01643,DLI22SDA000061,2025-03-29,PRESENT,No,N
ATT06833,DLI24SDA000032,2024-08-08,ABSENT,NO,No
ATT07046,DLI24SDA000036,2024-10-20,Present,N,N
ATT04191,DLI23SDA000048,2026-04-18,P,N,NO
ATT06678,DLI24SDA000028,2026-07-25,Present,N,No
ATT08895,DLI25SDA000004,2025-09-06,Present,NO,no
ATT10014,DLI25SDA000050,2026-04-18,Absent,no,NO
ATT04789,DLI23SDA000061,2025-01-05,present,No,No
ATT07681,DLI24SDA000048,2025-10-16,Present,No,N
ATT04818,DLI23SDA000061,2026-05-17,Present,N,N
ATT05450,DLI24SDA000004,2026-05-02,Present,No,N
ATT06635,DLI24SDA000028,2024-09-22,Present,N,No
ATT02906,DLI23SDA000022,2024-09-22,Present,No,no
ATT00438,DLI22SDA000017,2024-09-08,Present,no,No
ATT10007,DLI25SDA000050,2026-01-17,Present,No,no
ATT02634,DLI23SDA000016,2025-04-12,PRESENT,N,NO
ATT06134,DLI24SDA000018,2024-12-07,Present,no,N
ATT02725,DLI23SDA000018,2025-01-05,P,No,no
ATT07127,DLI24SDA000037,2026-02-08,Present,NO,N
ATT08715,DLI24SDA000068,2026-05-17,present,no,No
ATT08449,DLI24SDA000063,2026-01-03,Present,YES,No
ATT02519,DLI23SDA000014,2024-09-01,Present,No,NO
ATT07746,DLI24SDA000049,2026-05-17,present,No,No
ATT04397,DLI23SDA000053,2024-10-20,Present,No,NO
ATT00262,DLI22SDA000010,2025-01-05,Present,N,no
ATT02957,DLI23SDA000023,2024-10-20,PRESENT,No,no
ATT06419,DLI24SDA000023,2026-05-02,Present,No,N
ATT01097,DLI22SDA000041,2024-12-07,Present,No,No
ATT03666,DLI23SDA000037,2026-05-17,Present,No,NO
ATT00016,DLI22SDA000001,2024-11-30,Present,no,no
ATT03783,DLI23SDA000040,2025-02-01,Present,No,NO
ATT05433,DLI24SDA000004,2025-09-06,Absent,N,No
ATT05601,DLI24SDA000007,2026-04-18,present,NO,N
ATT10690,DLI26SDA000056,2026-07-11,Present,No,no
ATT00457,DLI22SDA000017,2025-04-27,P,N,no
ATT04657,DLI23SDA000058,2025-09-21,PRESENT,No,No
ATT01230,DLI22SDA000046,2024-11-17,Present,N,no
ATT08982,DLI25SDA000007,2026-04-18,P,No,NO
ATT04843,DLI23SDA000062,2025-04-27,Absent,N,NO
ATT07847,DLI24SDA000051,2026-05-02,Present,no,N
ATT05820,DLI24SDA000012,2024-10-04,Present,No,No
ATT03899,DLI23SDA000042,2026-02-08,Present,No,No
ATT05330,DLI24SDA000002,2025-08-24,Present,no,No
ATT06142,DLI24SDA000018,2025-04-27,Present,no,N
ATT05170,DLI23SDA000069,2024-11-30,present,No,no
ATT09638,DLI25SDA000035,2025-08-24,Present,NO,NO
ATT01628,DLI22SDA000061,2024-09-22,Present,N,NO
ATT01152,DLI22SDA000043,2024-12-15,Present,No,N
ATT05868,DLI24SDA000013,2024-09-08,P,no,no
ATT10106,DLI25SDA000054,2026-02-08,Present,NO,No
ATT04315,DLI23SDA000051,2025-04-27,Absent,No,No
ATT06197,DLI24SDA000019,2025-08-24,Present,NO,No
ATT03198,DLI23SDA000028,2024-10-26,Present,No,No
ATT05268,DLI24SDA000001,2024-12-15,Present,No,NO
ATT09184,DLI25SDA000016,2025-09-21,Present,no,No
ATT07296,DLI24SDA000041,2024-09-08,Present,no,No
ATT02313,DLI23SDA000009,2026-01-24,PRESENT,NO,No
ATT07380,DLI24SDA000042,2026-01-24,Absent,No,No
ATT06767,DLI24SDA000030,2026-01-17,Present,no,NO
ATT05260,DLI24SDA000001,2024-10-13,Present,No,no
ATT01153,DLI22SDA000043,2025-01-05,Present,NO,NO
ATT09364,DLI25SDA000023,2026-03-21,Present,Yes,NO
ATT01151,DLI22SDA000043,2024-12-07,present,No,No
ATT03580,DLI23SDA000036,2024-10-13,Present,NO,NO
ATT04546,DLI23SDA000056,2024-11-30,Present,No,no
ATT01561,DLI22SDA000058,2025-03-02,Absent,NO,No
ATT04217,DLI23SDA000049,2025-03-29,Present,no,No
ATT04764,DLI23SDA000060,2026-02-28,Present,No,No
ATT06319,DLI24SDA000021,2026-07-11,Present,No,N
ATT09668,DLI25SDA000036,2025-11-15,Present,no,NO
ATT04157,DLI23SDA000048,2024-10-20,Present,N,N
ATT01346,DLI22SDA000050,2025-03-29,Present,YES,No
ATT08302,DLI24SDA000060,2026-03-21,Present,no,no
ATT06959,DLI24SDA000034,2025-05-03,Present,NO,No
ATT09790,DLI25SDA000041,2026-01-03,Present,No,No
ATT04607,DLI23SDA000057,2025-08-24,present,NO,N
ATT06040,DLI24SDA000016,2025-04-27,Present,no,N
ATT01790,DLI22SDA000067,2024-09-22,Present,No,No
ATT02335,DLI23SDA000010,2024-10-31,Present,N,no
ATT07728,DLI24SDA000049,2025-09-06,Present,N,No
ATT06680,DLI24SDA000029,2024-08-08,Present,N,No
ATT01564,DLI22SDA000058,2025-04-27,Present,no,no
ATT10484,DLI25SDA000070,2025-11-15,Present,NO,NO
ATT01162,DLI22SDA000044,2024-08-04,Absent,NO,no
ATT01824,DLI22SDA000068,2024-11-17,Present,no,No
ATT03582,DLI23SDA000036,2024-10-26,Present,No,N
ATT09110,DLI25SDA000013,2025-08-24,Absent,NO,No
ATT00665,DLI22SDA000025,2024-12-07,Absent,no,NO
ATT10975,DLI23SDA009970,2026-05-02,P,Yes,N
ATT10592,DLI26SDA000023,2026-07-18,Present,no,N
ATT06334,DLI24SDA000022,2024-10-31,Present,no,No
ATT06625,DLI24SDA000027,2026-07-11,Present,NO,no
ATT07593,DLI24SDA000046,2026-05-17,P,N,NO
ATT04959,DLI23SDA000064,2026-04-18,Absent,No,YES
ATT06732,DLI24SDA000030,2024-08-17,Present,N,No
ATT07529,DLI24SDA000045,2025-11-15,Present,NO,no
ATT08474,DLI24SDA000064,2024-10-20,Present,NO,No
ATT07586,DLI24SDA000046,2026-02-08,Present,No,No
ATT05990,DLI24SDA000015,2025-05-03,Present,no,NO
ATT03875,DLI23SDA000042,2024-12-07,Present,no,No
ATT02320,DLI23SDA000009,2026-04-25,Present,NO,No
ATT03328,DLI23SDA000030,2026-04-25,Present,no,NO
ATT03646,DLI23SDA000037,2025-08-17,Present,N,No
ATT02059,DLI23SDA000004,2025-04-27,Absent,No,No
ATT09016,DLI25SDA000009,2025-09-21,Present,No,No
ATT01422,DLI22SDA000053,2024-12-15,P,No,NO
ATT08062,DLI24SDA000056,2024-09-14,Present,NO,No
ATT10330,DLI25SDA000063,2026-07-11,present,N,No
ATT04570,DLI23SDA000056,2026-01-31,Present,No,No
ATT00095,DLI22SDA000004,2024-11-10,Present,No,No
ATT08911,DLI25SDA000004,2026-04-25,P,no,N
ATT07544,DLI24SDA000045,2026-07-18,Present,No,NO
ATT01799,DLI22SDA000067,2024-12-07,Present,NO,No
ATT00302,DLI22SDA000012,2024-09-01,Present,no,No
ATT05748,DLI24SDA000010,2026-01-24,Present,N,no
ATT01157,DLI22SDA000043,2025-03-29,Present,NO,No
ATT05588,DLI24SDA000007,2025-09-28,Present,No,No
ATT06898,DLI24SDA000033,2024-11-30,Present,NO,no
ATT07033,DLI24SDA000035,2026-07-11,PRESENT,No,No
ATT04927,DLI23SDA000064,2024-10-31,Present,no,No
ATT10483,DLI25SDA000070,2025-10-16,Present,No,No
ATT00179,DLI22SDA000007,2024-12-07,Present,No,N
ATT10099,DLI25SDA000054,2025-10-16,Present,NO,No
ATT05559,DLI24SDA000007,2024-08-17,Present,No,No
ATT05169,DLI23SDA000069,2024-11-17,Present,no,N
ATT01066,DLI22SDA000040,2024-10-31,PRESENT,No,N
ATT03803,DLI23SDA000040,2026-02-08,Present,No,no
ATT09270,DLI25SDA000019,2026-04-18,Present,N,N
ATT05430,DLI24SDA000004,2025-05-10,Present,No,no
ATT10648,DLI26SDA000042,2026-07-11,Present,No,NO
ATT02539,DLI23SDA000014,2025-04-27,Present,No,no
ATT08543,DLI24SDA000065,2025-08-24,Present,no,N
ATT02240,DLI23SDA000008,2024-11-10,PRESENT,NO,No
ATT08044,DLI24SDA000055,2026-01-31,Present,No,No
ATT09908,DLI25SDA000046,2025-11-15,Present,NO,NO
ATT03610,DLI23SDA000036,2026-01-31,Present,No,NO
ATT02449,DLI23SDA000012,2025-09-21,Present,N,No
ATT00996,DLI22SDA000037,2025-04-12,Present,N,N
ATT10767,DLI23SDA009405,2026-01-24,PRESENT,N,Yes
ATT02501,DLI23SDA000013,2025-11-15,Present,No,no
ATT09098,DLI25SDA000012,2026-02-08,Absent,no,NO
ATT03059,DLI23SDA000025,2024-12-07,Present,no,N
ATT05803,DLI24SDA000011,2026-03-21,Present,NO,N
ATT02299,DLI23SDA000009,2025-04-27,Present,No,NO
ATT08844,DLI25SDA000001,2026-07-25,Present,NO,No
ATT01343,DLI22SDA000050,2025-01-26,Present,YES,N
ATT03760,DLI23SDA000039,2026-04-25,Present,No,NO
ATT09291,DLI25SDA000020,2026-02-28,Present,no,N
ATT07210,DLI24SDA000039,2025-03-02,Present,N,No
ATT08437,DLI24SDA000063,2025-04-27,Present,no,No
ATT07326,DLI24SDA000041,2025-12-08,Present,NO,no
ATT06909,DLI24SDA000033,2025-05-10,Present,NO,N
ATT01717,DLI22SDA000064,2024-11-30,Present,N,No
ATT02282,DLI23SDA000009,2024-09-22,Present,NO,no
ATT05666,DLI24SDA000009,2024-09-22,Present,no,NO
ATT04311,DLI23SDA000051,2025-02-01,Present,NO,N
ATT03506,DLI23SDA000034,2025-09-28,P,N,no
ATT07693,DLI24SDA000048,2026-04-25,Present,No,No
ATT00736,DLI22SDA000028,2024-09-14,P,NO,NO
ATT03455,DLI23SDA000033,2025-08-24,Present,no,no
ATT06057,DLI24SDA000016,2026-02-28,Present,NO,N
ATT01335,DLI22SDA000050,2024-10-26,Present,No,no
ATT10366,DLI25SDA000065,2026-01-03,Present,No,N
ATT03607,DLI23SDA000036,2026-01-03,Present,no,N
ATT02997,DLI23SDA000024,2024-08-17,Present,N,No
ATT01732,DLI22SDA000065,2024-08-24,Present,No,No
ATT05111,DLI23SDA000068,2024-09-01,Present,no,No
ATT02158,DLI23SDA000006,2025-08-17,PRESENT,NO,No
ATT01793,DLI22SDA000067,2024-10-20,Present,N,no
ATT05449,DLI24SDA000004,2026-04-25,Present,NO,no
ATT06980,DLI24SDA000034,2026-05-02,present,No,No
ATT10417,DLI25SDA000067,2026-01-31,Present,No,no
ATT04421,DLI23SDA000053,2025-11-15,Present,NO,No
ATT00564,DLI22SDA000021,2025-04-12,Present,No,N
ATT08171,DLI24SDA000058,2024-11-10,Absent,No,No
ATT00946,DLI22SDA000036,2024-08-04,Present,No,no
ATT00178,DLI22SDA000007,2024-11-30,Present,no,no
ATT07261,DLI24SDA000040,2025-03-02,P,Y,NO
ATT02701,DLI23SDA000017,2026-03-21,Present,N,N
ATT06784,DLI24SDA000031,2024-08-24,Present,No,No
ATT00492,DLI22SDA000019,2024-09-08,A,NO,NO
ATT07001,DLI24SDA000035,2024-12-07,Present,no,No
ATT04235,DLI23SDA000049,2026-02-08,Present,No,No
ATT01861,DLI22SDA000069,2025-04-27,Present,N,No
ATT10342,DLI25SDA000064,2026-01-03,Present,N,NO
ATT02630,DLI23SDA000016,2025-01-26,Present,NO,no
ATT06534,DLI24SDA000026,2024-10-04,Present,yes,No
ATT08322,DLI24SDA000061,2024-10-26,Absent,no,N
ATT06253,DLI24SDA000020,2025-10-16,Present,N,No
ATT02907,DLI23SDA000022,2024-10-04,Absent,No,N
ATT00444,DLI22SDA000017,2024-10-26,ABSENT,no,Yes
ATT02486,DLI23SDA000013,2025-01-26,Present,No,NO
ATT00096,DLI22SDA000004,2024-11-17,Present,No,NO
ATT07516,DLI24SDA000045,2025-03-02,Present,N,NO
ATT02673,DLI23SDA000017,2024-11-17,Absent,N,yes
ATT08483,DLI24SDA000064,2025-01-26,Present,no,N
ATT06117,DLI24SDA000017,2026-07-25,P,No,No
ATT09623,DLI25SDA000034,2026-01-17,Present,NO,N
ATT07984,DLI24SDA000054,2025-09-21,Present,No,No
ATT04226,DLI23SDA000049,2025-09-28,Present,No,NO
ATT02302,DLI23SDA000009,2025-08-17,P,No,No
ATT10817,DLI23SDA009970,2025-01-26,A,yes,N
ATT03922,DLI23SDA000043,2024-11-30,Present,N,No
ATT08425,DLI24SDA000063,2024-10-31,Absent,No,No
ATT06870,DLI24SDA000032,2026-01-24,Present,NO,No
ATT05983,DLI24SDA000015,2025-01-05,Absent,No,NO
ATT07912,DLI24SDA000053,2024-10-13,P,no,N
ATT03125,DLI23SDA000026,2025-11-15,P,NO,No
ATT07398,DLI24SDA000043,2024-09-08,Absent,NO,Y
ATT07177,DLI24SDA000038,2026-01-31,Absent,No,YES
ATT03813,DLI23SDA000041,2024-08-17,Present,NO,N
ATT05976,DLI24SDA000015,2024-10-26,present,No,No
ATT10187,DLI25SDA000057,2026-07-18,Present,No,NO
ATT10426,DLI25SDA000067,2026-07-11,Present,N,N
ATT10325,DLI25SDA000063,2026-03-28,Present,No,N
ATT02218,DLI23SDA000007,2026-01-31,Present,N,N
ATT08324,DLI24SDA000061,2024-11-10,Present,no,No
ATT06867,DLI24SDA000032,2025-12-08,Present,NO,No
ATT00424,DLI22SDA000016,2025-01-05,present,NO,N
ATT03903,DLI23SDA000042,2026-04-18,Present,No,no
ATT09985,DLI25SDA000049,2026-01-31,Present,no,No
ATT10259,DLI25SDA000060,2026-07-18,Present,NO,N
ATT07364,DLI24SDA000042,2025-03-29,Present,N,no
ATT06826,DLI24SDA000031,2026-04-25,Present,No,No
ATT02071,DLI23SDA000004,2026-01-03,Present,N,No
ATT05518,DLI24SDA000006,2024-10-31,Present,N,NO
ATT04468,DLI23SDA000054,2025-10-16,Absent,no,N
ATT10362,DLI25SDA000065,2025-10-05,Present,Yes,NO
ATT09510,DLI25SDA000029,2026-04-18,Absent,N,yes
ATT02691,DLI23SDA000017,2025-10-05,absent,N,N
ATT09762,DLI25SDA000040,2025-10-05,Present,No,N
ATT00790,DLI22SDA000030,2024-09-14,Present,No,No
ATT08014,DLI24SDA000055,2024-10-13,Present,No,N
ATT02855,DLI23SDA000021,2024-09-01,Present,Y,NO
ATT10532,DLI26SDA000003,2026-07-18,Present,no,NO
ATT03407,DLI23SDA000032,2025-08-24,Present,N,No
ATT05190,DLI23SDA000069,2025-12-08,Present,No,NO
ATT04363,DLI23SDA000052,2025-04-27,Absent,no,no
ATT10693,DLI26SDA000057,2026-07-11,present,No,N
ATT07110,DLI24SDA000037,2025-04-12,Absent,N,NO
ATT09972,DLI25SDA000048,2026-07-25,Present,NO,No
ATT07719,DLI24SDA000049,2025-02-01,Present,NO,No
ATT08415,DLI24SDA000063,2024-08-17,Present,N,no
ATT07365,DLI24SDA000042,2025-04-12,Present,No,No
ATT02763,DLI23SDA000019,2024-10-04,Present,No,no
ATT10179,DLI25SDA000057,2026-02-28,Present,No,No
ATT02043,DLI23SDA000004,2024-10-04,PRESENT,No,N
ATT00244,DLI22SDA000010,2024-08-04,Present,no,No
ATT08761,DLI24SDA000069,2026-03-21,Absent,no,N
ATT01356,DLI22SDA000051,2024-09-08,Present,NO,No
ATT02401,DLI23SDA000011,2025-09-21,Present,NO,no
ATT08156,DLI24SDA000057,2026-07-18,Absent,NO,NO
ATT07971,DLI24SDA000054,2024-12-15,Present,Yes,No
ATT07208,DLI24SDA000039,2025-01-26,absent,N,NO
ATT10063,DLI25SDA000052,2026-04-25,Present,NO,N
ATT08528,DLI24SDA000065,2024-11-10,Present,No,NO
ATT01850,DLI22SDA000069,2024-11-10,present,N,no
ATT07030,DLI24SDA000035,2026-04-25,Present,NO,NO
ATT10743,DLI23SDA009405,2026-01-24,A,Yes,N
ATT01622,DLI22SDA000061,2024-08-08,P,No,No
ATT08644,DLI24SDA000067,2025-08-17,Absent,no,no
ATT01888,DLI22SDA000070,2025-04-27,Present,NO,N
ATT00358,DLI22SDA000014,2024-09-14,Present,NO,No
ATT01712,DLI22SDA000064,2024-10-20,Present,Yes,No
ATT04764,DLI23SDA000060,2026-02-28,Present,No,No
ATT08926,DLI25SDA000005,2026-01-03,Present,Yes,no
ATT06059,DLI24SDA000016,2026-03-28,Present,N,N
ATT03256,DLI23SDA000029,2025-03-02,Present,No,NO
ATT09174,DLI25SDA000015,2026-04-18,Present,N,N
ATT05055,DLI23SDA000066,2026-04-18,Present,no,No
ATT01658,DLI22SDA000062,2024-10-20,P,NO,No
ATT00282,DLI22SDA000011,2024-10-26,Present,No,No
ATT02511,DLI23SDA000013,2026-04-18,present,NO,No
ATT10615,DLI26SDA000031,2026-07-11,Present,N,no
ATT06216,DLI24SDA000019,2026-05-17,Present,no,N
ATT01919,DLI23SDA000001,2025-08-24,Present,no,No
ATT06629,DLI24SDA000028,2024-08-08,Present,NO,no
ATT00528,DLI22SDA000020,2024-11-17,Absent,NO,Yes
ATT09475,DLI25SDA000028,2025-10-16,Present,No,no
ATT00414,DLI22SDA000016,2024-10-04,Present,no,No
ATT01511,DLI22SDA000056,2025-05-03,Present,N,NO
ATT01362,DLI22SDA000051,2024-10-26,Present,N,no
ATT00056,DLI22SDA000003,2024-08-08,Present,N,N
ATT05271,DLI24SDA000001,2025-02-01,Present,no,NO
ATT08792,DLI24SDA000070,2025-03-29,Present,no,NO
ATT10610,DLI26SDA000029,2026-07-18,Present,NO,No
ATT05546,DLI24SDA000006,2026-02-08,Present,No,no
ATT04930,DLI23SDA000064,2024-11-30,Present,No,N
ATT03327,DLI23SDA000030,2026-04-18,Present,N,NO
ATT03518,DLI23SDA000034,2026-03-28,P,N,N
ATT00743,DLI22SDA000028,2024-11-10,present,No,no
ATT09995,DLI25SDA000049,2026-07-18,Present,no,no
ATT06156,DLI24SDA000018,2026-01-24,Present,Yes,no
ATT09581,DLI25SDA000032,2026-03-28,Present,No,NO
ATT00829,DLI22SDA000031,2025-01-05,Present,N,no
ATT00503,DLI22SDA000019,2024-12-07,Present,No,NO
ATT08403,DLI24SDA000062,2026-02-28,Present,NO,No
ATT09228,DLI25SDA000017,2026-07-25,P,no,No
ATT10167,DLI25SDA000057,2025-09-06,Present,No,No
ATT03544,DLI23SDA000035,2025-03-02,Present,no,No
ATT04936,DLI23SDA000064,2025-03-02,Present,No,NO
ATT10527,DLI26SDA000001,2026-07-25,Present,N,No
ATT07816,DLI24SDA000051,2024-11-30,Present,No,NO
ATT05348,DLI24SDA000002,2026-05-02,P,NO,NO
ATT01665,DLI22SDA000062,2024-12-15,Absent,No,no
ATT02939,DLI23SDA000022,2026-02-08,Present,Yes,No
ATT08544,DLI24SDA000065,2025-09-06,Present,Yes,N
ATT06389,DLI24SDA000023,2024-12-07,P,NO,No
ATT00858,DLI22SDA000032,2025-02-01,Present,NO,no
ATT09746,DLI25SDA000039,2026-02-08,Present,no,N
ATT05628,DLI24SDA000008,2025-02-01,Present,No,N
ATT10741,DLI25SDA009047,2026-01-24,A,no,No
ATT04558,DLI23SDA000056,2025-08-17,Present,N,N
ATT08460,DLI24SDA000063,2026-05-17,Absent,N,no
ATT07179,DLI24SDA000038,2026-02-28,Absent,N,N
ATT06321,DLI24SDA000021,2026-07-25,Present,no,no
ATT07345,DLI24SDA000042,2024-08-24,Present,No,no
ATT08260,DLI24SDA000060,2024-08-04,Present,No,no
ATT04403,DLI23SDA000053,2024-12-07,Present,No,NO
ATT01038,DLI22SDA000039,2024-10-26,Present,No,N
ATT04933,DLI23SDA000064,2025-01-05,Absent,N,Yes
ATT00923,DLI22SDA000035,2024-09-01,Present,NO,No
ATT02851,DLI23SDA000021,2024-08-04,P,NO,No
ATT05297,DLI24SDA000001,2026-05-02,Present,N,no
ATT03659,DLI23SDA000037,2026-02-08,Present,No,No
ATT06511,DLI24SDA000025,2026-01-03,Present,No,N
ATT01125,DLI22SDA000042,2024-12-15,Present,No,NO
ATT04073,DLI23SDA000046,2025-03-29,Present,No,No
ATT09639,DLI25SDA000035,2025-09-06,Absent,no,No
ATT02096,DLI23SDA000005,2024-11-10,Present,No,No
ATT02749,DLI23SDA000018,2026-03-21,Absent,N,NO
ATT00263,DLI22SDA000010,2025-01-26,present,NO,No
ATT09845,DLI25SDA000043,2026-03-28,Present,No,no
ATT09442,DLI25SDA000026,2026-07-11,Present,no,N
ATT10121,DLI25SDA000055,2025-09-28,Present,No,No
ATT04499,DLI23SDA000055,2024-12-07,Present,N,No
ATT00628,DLI22SDA000024,2024-09-14,PRESENT,Yes,No
ATT01603,DLI22SDA000060,2024-10-13,Present,YES,NO
ATT02926,DLI23SDA000022,2025-08-17,Present,No,No
ATT00599,DLI22SDA000023,2024-09-01,Present,Y,N
ATT05905,DLI24SDA000013,2026-03-21,Present,no,NO
ATT06579,DLI24SDA000027,2024-08-17,P,no,No
ATT04970,DLI23SDA000065,2024-09-22,Present,no,No
ATT08562,DLI24SDA000065,2026-05-17,Present,no,no
ATT04542,DLI23SDA000056,2024-10-26,Present,N,No
ATT10205,DLI25SDA000058,2026-03-28,Present,N,no
ATT07308,DLI24SDA000041,2024-12-15,Present,NO,No
ATT07381,DLI24SDA000042,2026-01-31,Present,No,No
ATT09684,DLI25SDA000036,2026-07-25,Present,No,N
ATT09741,DLI25SDA000039,2025-12-08,Present,N,NO
ATT02877,DLI23SDA000021,2025-05-10,Present,No,No
ATT09576,DLI25SDA000032,2026-01-24,Present,no,No
ATT00374,DLI22SDA000014,2025-03-29,P,No,No
ATT00134,DLI22SDA000005,2025-05-03,Present,NO,no
ATT10697,DLI26SDA000058,2026-07-18,Present,No,No
ATT09775,DLI25SDA000040,2026-04-25,Present,No,no
ATT07552,DLI24SDA000046,2024-09-14,Present,No,no
ATT01552,DLI22SDA000058,2024-10-31,Present,no,N
ATT10886,DLI25SDA009233,2025-08-24,Absent,N,Y
ATT05702,DLI24SDA000009,2026-03-28,Present,No,N
ATT02990,DLI23SDA000023,2026-03-28,Present,NO,N
ATT06476,DLI24SDA000025,2024-08-08,Present,N,no
ATT07826,DLI24SDA000051,2025-05-03,Present,N,no
ATT00594,DLI22SDA000022,2025-05-10,present,No,N
ATT07243,DLI24SDA000040,2024-08-24,Present,NO,No
ATT10664,DLI26SDA000047,2026-07-18,Present,NO,no
ATT05669,DLI24SDA000009,2024-10-20,Present,No,No
ATT07712,DLI24SDA000049,2024-11-10,Present,NO,N
ATT01721,DLI22SDA000064,2025-01-26,Present,NO,No
ATT03356,DLI23SDA000031,2025-05-03,Present,No,NO
ATT07921,DLI24SDA000053,2025-01-05,Absent,NO,yes
ATT03213,DLI23SDA000028,2025-05-10,Absent,no,No
ATT03880,DLI23SDA000042,2025-03-02,Present,No,NO
ATT04775,DLI23SDA000061,2024-09-01,Present,No,N
ATT03010,DLI23SDA000024,2024-11-30,Present,No,NO
ATT02111,DLI23SDA000005,2025-08-24,Present,No,NO
ATT06329,DLI24SDA000022,2024-09-22,Present,YES,no
ATT06939,DLI24SDA000034,2024-09-08,absent,NO,NO
ATT09112,DLI25SDA000013,2025-09-21,Present,N,No
ATT05154,DLI23SDA000068,2026-05-17,Present,no,NO
ATT00583,DLI22SDA000022,2024-11-30,Present,No,NO
ATT09154,DLI25SDA000014,2026-07-11,Present,No,No
ATT10824,DLI23SDA008714,2025-01-05,absent,No,Y
ATT10198,DLI25SDA000058,2026-01-03,Present,no,No
ATT10637,DLI26SDA000038,2026-07-18,Present,NO,No
ATT10728,DLI26SDA000068,2026-07-25,Present,No,N
ATT09841,DLI25SDA000043,2026-01-31,Present,No,NO
ATT07985,DLI24SDA000054,2025-09-28,Present,no,no
ATT09246,DLI25SDA000018,2026-04-18,Present,No,No
ATT00992,DLI22SDA000037,2025-01-26,Present,No,N
ATT02327,DLI23SDA000010,2024-09-01,Present,NO,no
ATT09634,DLI25SDA000034,2026-07-11,absent,N,N
ATT02534,DLI23SDA000014,2025-01-26,Absent,No,yes
ATT03379,DLI23SDA000032,2024-08-04,Present,N,No
ATT09834,DLI25SDA000043,2025-10-05,Present,No,No
ATT01042,DLI22SDA000039,2024-11-30,Present,NO,No
ATT03265,DLI23SDA000029,2025-09-21,Present,N,no
ATT07916,DLI24SDA000053,2024-11-10,Present,No,N
ATT02681,DLI23SDA000017,2025-03-29,Present,No,NO
ATT06840,DLI24SDA000032,2024-10-04,Present,N,NO
ATT01661,DLI22SDA000062,2024-11-10,Present,NO,NO
ATT07786,DLI24SDA000050,2026-01-03,Present,NO,N
ATT04187,DLI23SDA000048,2026-02-08,Present,NO,NO
ATT02078,DLI23SDA000004,2026-03-28,PRESENT,No,No
ATT04903,DLI23SDA000063,2026-01-03,P,No,No
ATT08898,DLI25SDA000004,2025-10-05,Present,NO,N
ATT09650,DLI25SDA000035,2026-02-08,Present,N,NO
ATT01369,DLI22SDA000051,2025-01-05,Present,No,no
ATT02114,DLI23SDA000005,2025-09-28,PRESENT,No,N
ATT09450,DLI25SDA000027,2025-10-05,Present,NO,NO
ATT06907,DLI24SDA000033,2025-04-27,Present,no,NO
ATT02325,DLI23SDA000010,2024-08-17,Present,yes,no
ATT01251,DLI22SDA000047,2024-10-04,Present,No,NO
ATT00752,DLI22SDA000028,2025-03-29,Absent,No,No
ATT03774,DLI23SDA000040,2024-10-26,Present,N,No
ATT07713,DLI24SDA000049,2024-11-17,Present,No,No
ATT08167,DLI24SDA000058,2024-10-13,PRESENT,NO,NO
ATT02252,DLI23SDA000008,2025-05-03,Absent,No,N
ATT02603,DLI23SDA000015,2026-02-08,Present,no,N
ATT04644,DLI23SDA000058,2024-12-15,Present,NO,No
ATT00393,DLI22SDA000015,2024-11-17,Present,N,no
ATT02937,DLI23SDA000022,2026-01-24,Present,N,NO
ATT08335,DLI24SDA000061,2025-04-27,Present,N,NO
ATT04039,DLI23SDA000045,2026-01-03,ABSENT,no,no
ATT01526,DLI22SDA000057,2024-11-10,Absent,No,No
ATT10657,DLI26SDA000045,2026-07-11,Present,No,no
ATT01962,DLI23SDA000002,2025-04-12,Present,no,NO
ATT02899,DLI23SDA000022,2024-08-04,Present,yes,No
ATT08645,DLI24SDA000067,2025-08-24,Present,NO,NO
ATT08191,DLI24SDA000058,2025-10-16,Present,No,N
ATT07987,DLI24SDA000054,2025-10-16,PRESENT,NO,NO
ATT01009,DLI22SDA000038,2024-10-13,Present,N,N
ATT06493,DLI24SDA000025,2025-01-05,Absent,No,No
ATT02795,DLI23SDA000019,2026-02-08,Absent,NO,NO
ATT02220,DLI23SDA000007,2026-02-28,Present,no,NO
ATT02781,DLI23SDA000019,2025-05-10,Absent,No,NO
ATT01452,DLI22SDA000054,2025-02-01,Present,no,no
ATT10368,DLI25SDA000065,2026-01-24,Present,No,NO
ATT01318,DLI22SDA000049,2025-03-02,PRESENT,Y,No
